회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
CSA 코스믹,083660,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",7/25/2006,12월,조성아,http://www.gentro.co.kr,서울특별시
티엘아이,062860,반도체 제조업,LCDTV및모니터용TimingController,7/25/2006,12월,김달수,http://www.tli.co.kr,경기도
한국전자금융,063570,기타 사업지원 서비스업,"ATM관리사업,CD-VAN사업",7/14/2006,12월,구자성,http://www.nicetcm.co.kr,서울특별시
쇼박스,086980,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화투자및배급,7/7/2006,12월,김도수,http://www.showbox.co.kr,서울특별시
팬엔터테인먼트,068050,"영화, 비디오물, 방송프로그램 제작 및 배급업","방송영상물,음반",7/7/2006,12월,박영석,http://www.thepan.co.kr,서울특별시
루트로닉,085370,의료용 기기 제조업,의료용레이저기기,7/4/2006,12월,황해령,http://www.lutronic.com,경기도
인포뱅크,039290,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역",7/4/2006,12월,박태형,http://www.infobank.net,경기도
노루페인트,090350,기타 화학제품 제조업,페인트 제조,7/3/2006,12월,"김용기, 조성국(각자 대표이사)",,경기도
아모레퍼시픽,090430,기타 화학제품 제조업,"화장품,생활용품 제조, 판매",6/29/2006,12월,"서경배, 안세홍, 이동순",http://www.apgroup.com,서울특별시
아이오케이,078860,"영화, 비디오물, 방송프로그램 제작 및 배급업",연예인 매니지먼트,6/27/2006,12월,한성구,http://www.iok.co.kr,서울특별시
동우팜투테이블,088910,"도축, 육류 가공 및 저장 처리업","육계,삼계",6/23/2006,12월,이계창,http://dongwoofarmtotable.com,전라북도
롯데관광개발,032350,여행사 및 기타 여행보조 서비스업,"국내외여행알선,관광개발,전세운수,항공권매매대행",6/8/2006,12월,"김기병, 백현, 김한준",http://lottetour.com,제주특별자치도
제이브이엠,054950,일반 목적용 기계 제조업,"전자동 정제,분류 및 포장시스템",6/7/2006,12월,이용희,http://www.myjvm.com,대구광역시
평화산업,090080,자동차 신품 부품 제조업,"자동차부품(방진고무,방류고무(COVER류,CUP류),호스류),장비시설용 부품 제조,판매",6/2/2006,12월,"김종석, 황순용",http://www.ph.co.kr,대구광역시
우진플라임,049800,특수 목적용 기계 제조업,"플라스틱사출성형기 제조,판매",5/24/2006,12월,김익환,http://www.woojinplaimm.com,충청북도
팅크웨어,084730,통신 및 방송 장비 제조업,"내비게이션,블랙박스,태블릿 및 위치정보서비스",5/19/2006,12월,이흥복,http://www.thinkware.co.kr,경기도
신세계I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",5/18/2006,12월,손정현,http://www.shinsegae-inc.com,서울특별시
진바이오텍,086060,동물용 사료 및 조제식품 제조업,"펩소이젠(식물성단백질),바이오스타치(가공전분),나투포멘(친환경생균제),락토케어(항생제대체형미생물제제)등",4/28/2006,12월,이찬호,http://www.genebiotech.co.kr,충청남도
정산애강,022220,플라스틱제품 제조업,"PB/CPVC 파이프, 연결구",4/11/2006,12월,황광식,http://www.jsak.co.kr,충청북도
진도,088790,기타 전문 도매업,"모피제품 제조,가공",3/28/2006,12월,임병남,http://www.jindofand.co.kr,서울특별시
에이스테크,088800,통신 및 방송 장비 제조업,"단말기용안테나,기지국용안테나",3/27/2006,12월,"구관영,홍익표(각자대표)",http://www.aceantenna.co.kr/kor/,인천광역시
맥쿼리인프라,088980,신탁업 및 집합투자업,증권투자회사,3/15/2006,12월,맥쿼리자산운용(주),http://www.macquarie.com/kr/kr/mkif/index.html,서울특별시
롯데쇼핑,023530,종합 소매업,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",2/9/2006,12월,강성현,http://www.lotteshoppingir.com/,서울특별시
셀트리온제약,068760,의약품 제조업,고덱스 캡슐 외,2/3/2006,12월,서정수,http://www.celltrionph.com,충청북도
GST,083450,특수 목적용 기계 제조업,"GasScrubber,Chiller",2/1/2006,12월,"김덕준, 장광수(각자대표)",http://www.gst-in.com,경기도
에너토크,019990,일반 목적용 기계 제조업,전동액츄에이터,2/1/2006,12월,장기원,http://www.enertork.com,경기도
제우스,079370,특수 목적용 기계 제조업,LCD제조용장비,2/1/2006,12월,이종우,http://www.globalzeus.com,경기도
한일네트웍스,046110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서비스ASP,1/20/2006,12월,박지훈,http://www.hanilnetworks.com,서울특별시
뉴프렉스,085670,전자부품 제조업,연성인쇄회로기판,1/17/2006,12월,"임우현, 임시연 (각자대표)",http://www.newflex.co.kr,경기도
유진테크,084370,특수 목적용 기계 제조업,실리콘질화막증착용LP-CVD,1/17/2006,12월,엄평용,http://www.eugenetech.co.kr,경기도
크리스탈지노믹스,083790,자연과학 및 공학 연구개발업,신개념항생제(전임상),1/6/2006,12월,조중명,http://www.cgxinc.com,경기도
바이오니아,064550,의료용품 및 기타 의약 관련제품 제조업,"합성유전자,시약및유전자분석장비",12/29/2005,12월,박한오,http://www.bioneer.co.kr,대전광역시
헬릭스미스,084990,자연과학 및 공학 연구개발업,"바이오신약, 천연물신약 연구개발",12/29/2005,12월,"김선영, 유승신(각자 대표이사)",http://helixmith.com,서울특별시
인콘,083640,통신 및 방송 장비 제조업,영상보안장비 및 영상보안솔루션,12/27/2005,12월,"도중식, 최영훈(각자대표)",http://www.in-con.biz,경기도
차바이오텍,085660,기초 의약물질 및 생물학적 제제 제조업,"세포치료제 개발, 제대혈 보관 등",12/27/2005,12월,오상훈 (단독대표),http://www.chabio.com,서울특별시
현대글로비스,086280,기타 운송관련 서비스업,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",12/26/2005,12월,김정훈,http://www.glovis.net,서울특별시
대봉엘에스,078140,의약품 제조업,"원료의약품,화장품원료",12/23/2005,12월,"박종호, 박진오",http://www.daebongls.co.kr,인천광역시
와이엔텍,067900,폐기물 처리업,"사업장폐기물중간및최종처리,전문건설,골재제조",12/23/2005,12월,박지영,http://www.y-entec.co.kr,전라남도
케이엠,083550,기타 섬유제품 제조업,클린룸용Wiper,12/20/2005,12월,신병순,http://kmbiz.com,강원도
티비에이치글로벌,084870,봉제의복 제조업,"캐주얼의류,여성의류,남성의류 제조,도소매",12/19/2005,12월,우종완,,서울특별시
수성이노베이션,084180,일반 목적용 기계 제조업,전동지게차,12/16/2005,12월,"김대진, 김덕진 (각자 대표이사)",http://www.soosung.com,인천광역시
하나금융지주,086790,기타 금융업,기타 금융,12/12/2005,12월,김정태,http://www.hanafn.com,서울특별시
한국코퍼레이션,050540,기타 사업지원 서비스업,"CRM서비스,CRM솔루션",12/12/2005,12월,"성상윤, 조성완 (각자 대표이사)",http://www.besthc.co.kr,서울특별시
제일연마,001560,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설",12/9/2005,12월,"오유인, 오현수, 추헌주 (각자 대표)",http://www.grinding.co.kr,경상북도
모다이노칩,080420,"섬유, 의복, 신발 및 가죽제품 소매업","ESD필터,칩바리스터",12/6/2005,12월,"박인길, 정태형",http://www.innochips.co.kr,경기도
비에이치아이,083650,일반 목적용 기계 제조업,"보일러,열교환기등",12/2/2005,12월,"우종인, 조원래 (각자 대표이사)",http://www.bhi.co.kr,경상남도
EMW,079190,통신 및 방송 장비 제조업,휴대폰안테나,11/29/2005,12월,"이승준, LLOYD YEONSU LEE (각자 대표이사)",http://emw.co.kr,인천광역시
현대리바트,079430,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",11/22/2005,12월,윤기철,http://www.hyundailivart.co.kr,경기도
비보존 헬스케어,082800,반도체 제조업,백색발광다이오드(LED),11/18/2005,12월,"한재관,오동훈(각자대표)",http://www.lumimicro.com,경기도
자연과환경,043910,환경 정화 및 복원업,"스테인레스파이프, 다공성식생블록,조경원예자재",11/18/2005,12월,이병용,http://www.e-nne.co.kr,충청남도
와토스코리아,079000,플라스틱제품 제조업,위생도기용부속(양변기용),11/15/2005,12월,"송공석,송태양",http://www.watos.com,전라남도
대한제강,084010,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",10/31/2005,12월,"이경백, 한성민 각자대표",http://www.idaehan.com,부산광역시
폴라리스오피스,041020,소프트웨어 개발 및 공급업,시스템 소프트웨어,10/28/2005,12월,지준경,http://www.polarisofficecorp.com,서울특별시
디아크,078590,자동차 신품 부품 제조업,자동차내장카페트,10/27/2005,12월,이창현 단독대표이사,http://www.oqp.co.kr,경상남도
서린바이오,038070,기타 전문 도매업,생명과학연구기기및시약,10/25/2005,12월,"황을문, 강미옥 (각자 대표이사)",http://www.seoulin.co.kr,경기도
새론오토모티브,075180,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝)",10/21/2005,12월,"정경호, 이시이 야스지",http://www.saeronauto.co.kr,충청남도
그린케미칼,083420,기타 화학제품 제조업,"비이온계면활성제 제조,도매",10/20/2005,12월,양준화,http://www.korgc.com,충청남도
가비아,079940,소프트웨어 개발 및 공급업,"도메인,호스팅",10/19/2005,12월,김홍국,http://www.gabia.com,경기도
덕산하이메탈,077360,반도체 제조업,솔더볼(Solderball),10/14/2005,12월,김윤철,http://www.dshm.co.kr,울산광역시
아바코,083930,특수 목적용 기계 제조업,평판디스플레이제조용장비,10/11/2005,12월,김광현,http://www.avaco.co.kr,대구광역시
하나마이크론,067310,반도체 제조업,"반도체패키징,IOT",10/11/2005,12월,이동철,http://www.hanamicron.co.kr,충청남도
엘오티베큠,083310,특수 목적용 기계 제조업,반도체제조용진공펌프,10/5/2005,12월,오흥식,http://www.lotvacuum.com,경기도
코스나인,082660,기타 화학제품 제조업,화장품,10/5/2005,12월,"백광열, 최영권 (각자대표)",http://cosnine.com,경기도
이상네트웍스,080010,상품 중개업,기업간전자상거래서비스,9/30/2005,12월,김기배,http://www.e-sang.net,서울특별시
대상홀딩스,084690,기타 금융업,지주회사,8/17/2005,12월,"임창욱, 최성수 각자대표이사",,서울특별시
아리온,058220,통신 및 방송 장비 제조업,디지털셋톱박스,8/5/2005,12월,이정필,http://www.arion.co.kr,경기도
코아스,071950,가구 제조업,"사무용가구,금속가구 도매,제조",8/4/2005,12월,노재근,http://www.ikoas.com,서울특별시
메디포스트,078160,기초 의약물질 및 생물학적 제제 제조업,제대혈은행,7/29/2005,12월,양윤선,http://www.medi-post.co.kr,경기도
우리바이오,082850,전구 및 조명장치 제조업,"LCD광원부품(CCFL,EEFL)",7/29/2005,12월,권경환,http://www.wooreeeti.co.kr,경기도
모두투어,080160,여행사 및 기타 여행보조 서비스업,"항공권판매수수료,해외여행알선",7/26/2005,12월,우종웅,http://www.modetour.co.kr,서울특별시
이월드,084680,귀금속 및 장신용품 제조업,"놀이시설 운영,입장료,식음료 소매,부동산 임대",7/26/2005,12월,"방병순, 이수원",http://www.eworld.kr,대구광역시
동양고속,084670,육상 여객 운송업,고속버스 운송/부동산 임대,7/25/2005,12월,백남근,http://www.dyexpress.co.kr,경기도
한미반도체,042700,특수 목적용 기계 제조업,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",7/22/2005,12월,곽동신,http://www.hanmisemi.com,인천광역시
가온미디어,078890,통신 및 방송 장비 제조업,디지털셋톱박스,7/12/2005,12월,임화섭,http://www.kaonmedia.com,경기도
쏠리드,050890,통신 및 방송 장비 제조업,"이동통신중계기,위성DMB용중계기",7/8/2005,12월,"정준, 이승희 (각자대표이사)",http://www.solid.co.kr,경기도
동일산업,004890,1차 철강 제조업,"봉강,합금철,철근,마봉강,냉간압조용선재,주조,지선,주강,다이아몬드공구 제조,도매",6/30/2005,12월,"오순택, 오승민",http://www.dongil.co.kr,경상북도
옵트론텍,082210,사진장비 및 광학기기 제조업,"IRFilter,Grating",6/24/2005,12월,"홍사관, 임지윤",http://www.optrontec.com,경상남도
젬백스,082270,특수 목적용 기계 제조업,"ChemicalAirFilter,GasScrubber",6/24/2005,12월,"김상재, 송형곤",http://www.kael.co.kr,대전광역시
플랜티넷,075130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",유해사이트차단서비스,6/10/2005,12월,"김태주, 김후종(각자대표이사)",http://www.plantynet.com,경기도
삼호개발,010960,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",5/12/2005,12월,심재범,http://www.samhodev.co.kr/,충청남도
금호타이어,073240,고무제품 제조업,"타이어,튜브 제조,도매,무역",2/17/2005,12월,정일택,http://www.kumhotire.co.kr,광주광역시
이노와이어리스,073490,통신 및 방송 장비 제조업,통신용 시험 및 계측장비,2/4/2005,12월,곽영수,http://www.innowireless.co.kr,경기도
인베니아,079950,특수 목적용 기계 제조업,"Dry Etcher, 진공합착기, LCD Panel 검사장비, OLED용 진공합착기",2/4/2005,12월,구동범,http://www.inveniacorp.com,경기도
동양이엔피,079960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","휴대폰용,OA기기및통신장비용,디지털가전용전원공급장치",2/1/2005,12월,"김재수,김재만",http://www.dyenp.com,경기도
제주반도체,080220,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM",2/1/2005,12월,"박성식, 조형섭(각자 대표)",http://www.jeju-semi.com,제주특별자치도
한창산업,079170,1차 비철금속 제조업,"아연말,리튬브로마이드,산화망간,인산아연",2/1/2005,12월,"강호익, 강상균(각자대표)",http://www.hanchem.com,경기도
디이엔티,079810,특수 목적용 기계 제조업,FPD공정검사장비,1/26/2005,12월,배성민,http://www.i-det.com,경기도
에스엔유,080000,특수 목적용 기계 제조업,"OLED증착장비, OLED봉지장비, LCD검사장비 등",1/25/2005,12월,구병완,http://www.snuprecision.com,충청남도
iMBC,052220,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","디지털콘텐츠,웹에이젼시",1/21/2005,12월,박태경,http://corp.imbc.com,서울특별시
서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,전주,고강도파일,흄관",1/21/2005,12월,염홍섭,http://www.seo-san.co.kr,광주광역시
KMH하이텍,052900,플라스틱제품 제조업,TRAY(반도체Packing재료),1/18/2005,12월,이상국,http://www.kmhhitech.com,충청남도
손오공,066910,기타 전문 도매업,"완구, 게임, 캐릭터수입수수료",1/7/2005,12월,김종완,http://www.sonokong.co.kr,경기도
미래컴퍼니,049950,특수 목적용 기계 제조업,EdgeGrinder,1/4/2005,12월,김준구,http://www.meerecompany.com,경기도
아이크래프트,052460,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","인터넷핵심망(CCR,MCR,NAS등)",1/3/2005,12월,"박우진, 성시훈(각자 대표이사)",http://www.icraft21.com,서울특별시
CJ CGV,079160,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",12/24/2004,12월,허민회,http://www.cgv.co.kr,서울특별시
일진다이아,081000,기타 화학제품 제조업,"공업용 합성다이아몬드 제조,도매,수출입",12/22/2004,12월,"신광섭,변정출",http://www.iljindiamond.co.kr,충청북도
메가스터디,072870,"서적, 잡지 및 기타 인쇄물 출판업","온라인강의,교재판매",12/21/2004,12월,"손주은, 손은진(각자 대표이사)",http://www.megastudyholdings.com,서울특별시
케이에스피,073010,일반 목적용 기계 제조업,"선박용엔진밸브,형단조품",12/17/2004,12월,이범호,http://www.kspvalve.com,부산광역시
KG모빌리언스,046440,소프트웨어 개발 및 공급업,유무선전화결제서비스,12/14/2004,12월,고규영,http://www.mobilians.co.kr,서울특별시
대주전자재료,078600,전자부품 제조업,"전도성페이스트,태양전지 페이스트,고분자재료,PIG,이차전지용음극재료",12/10/2004,12월,"임일지,임중규(각자대표)",http://www.daejoo.co.kr,경기도
텔레칩스,054450,반도체 제조업,"디지털미디어프로세서,발신자정보표시칩",12/10/2004,12월,이장규,http://www.telechips.com,서울특별시
HB테크놀러지,078150,특수 목적용 기계 제조업,TFT-LCD검사장비,12/8/2004,12월,문성준,http://www.ncbnet.co.kr,충청남도
도이치모터스,067990,자동차 판매업,수입자동차,12/3/2004,12월,권혁민,http://www.deutschmotors.com,서울특별시
유니드,014830,기초 화학물질 제조업,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",12/3/2004,12월,"이화영, 정의승(2인, 각자 대표이사)",http://www.unid.co.kr,서울특별시
토비스,051360,영상 및 음향기기 제조업,Gaming모니터,11/19/2004,12월,"김 용 범, 하 희 조",http://www.tovism.com,인천광역시
제넨바이오,072520,생활용품 도매업,휴대폰윈도우,10/29/2004,12월,김성주,http://gennbio.com,경기도
상신브레이크,041650,자동차 신품 부품 제조업,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대",10/27/2004,12월,"김효일, 박세종",http://www.sangsin.com,대구광역시
국일제지,078130,기타 종이 및 판지 제품 제조업,"산업용 및 가정용 지류(강판간지, 다공지 등)",10/22/2004,12월,"이용호, 최우식 (각자 대표)",http://www.kukilpaper.co.kr,경기도
DMS,068790,특수 목적용 기계 제조업,LCD 제조장비,10/1/2004,12월,박용석,http://www.dms21.co.kr,경기도
인팩,023810,자동차 신품 부품 제조업,"자동차용 케이블,전자정보통신관련기기 제조,도매",9/21/2004,12월,"최오길, 최웅선",http://www.infac.com,서울특별시
코드네이처,078940,전기 및 통신 공사업,전기공사업,8/27/2004,12월,박상훈,http://codenature.com,서울특별시
시너지이노베이션,048870,의료용 기기 제조업,카메라 어플리케이션 프로세서(CAP),8/13/2004,12월,"구자형, 천경민",http://www.synergyinnovation.co.kr,경기도
신성델타테크,065350,가정용 기기 제조업,"세탁기, 자동차, 에어컨 및 LCD 부품",8/6/2004,12월,"구 자 천, 문 준 명",http://www.ssdelta.co.kr,경상남도
GS,078930,기타 금융업,지주회사/부동산 임대,8/5/2004,12월,"허태수, 홍순기 (각자 대표이사)",,서울특별시
유니퀘스트,077500,기계장비 및 관련 물품 도매업,"반도체직접회로 도매,무역,제조",8/5/2004,12월,앤드류김,http://www.uniquest.co.kr,경기도
다스코,058730,"구조용 금속제품, 탱크 및 증기발생기 제조업","데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업",8/2/2004,12월,한상원,http://www.dasco.kr,전라남도
한국경제TV,039340,텔레비전 방송업,"광고수입, 협찬수입",7/30/2004,12월,조주현,http://www.wownet.co.kr,서울특별시
LG디스플레이,034220,전자부품 제조업,액정표시장치(TFT-LCD) 제조,7/23/2004,12월,정호영,http://www.lgdisplay.com,서울특별시
다날,064260,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제,7/23/2004,12월,박상만,http://www.danal.co.kr,경기도
텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(핵심망솔루션,무선데이터솔루션,요소기술) 개발,유지보수,무역",7/20/2004,12월,금한태,http://www.telcoware.com,서울특별시
형지I&C,011080,봉제의복 제조업,남성셔츠,7/2/2004,12월,최혜원,http://www.woosunginc.com,서울특별시
휘닉스소재,050090,전자부품 제조업,"Metal Paste, Solder Ball",6/29/2004,12월,"홍석규, 고승범 각자대표",http://www.phoenixmaterials.kr,경상북도
코엔텍,029960,폐기물 처리업,산업폐기물 소각/매립처리,6/18/2004,12월,이민석,http://www.koentec.co.kr,울산광역시
YBM넷,057030,교육지원 서비스업,"온라인교육, 수수료수입 등",6/8/2004,12월,오재환,http://www.ybmsisa.com,서울특별시
CS,065770,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",6/4/2004,12월,최규훈,http://www.cs-holdings.co.kr,경기도
아미노로직스,074430,기타 전문 도매업,DVR용 영상처리 칩,6/4/2004,12월,"오장석,오성석",http://www.aminologics.co.kr,서울특별시
테라젠이텍스,066700,의약품 제조업,"Loading/Unloading System, PCB Bonding System",5/27/2004,12월,"고진업, 류병환 (각자대표이사)",http://www.thera-gen.com,경기도
디에이피,066900,전자부품 제조업,Build-Up PCB(인쇄회로기판),5/14/2004,12월,"권오일, 최봉윤",http://www.dapmc.co.kr,경기도
한양디지텍,078350,반도체 제조업,메모리 모듈,5/14/2004,12월,김형육/김윤상 각자대표,http://www.hanyangdgt.com,경기도
STX엔진,077970,일반 목적용 기계 제조업,"엔진,터빈,내연기관 제조,도매",5/10/2004,12월,박기문,http://www.stxengine.co.kr,경상남도
동국알앤에스,075970,기타 비금속 광물제품 제조업,내화물,2/13/2004,12월,이원휘,http://www.dkref.co.kr,경상남도
라이트론,069540,통신 및 방송 장비 제조업,기타무선통신장비제조업,2/13/2004,12월,박찬희,http://www.lightron.co.kr,대전광역시
듀오백,073190,가구 제조업,사무용 및 가정용 의자,2/6/2004,12월,정관영,http://duoback.co.kr,인천광역시
삼진엘앤디,054090,그외 기타 제품 제조업,"몰드프레임, TFT-LCD BLU",2/6/2004,12월,"이경재,이명종",http://samjin.co.kr,경기도
에스텍파마,041910,의약품 제조업,원료의약품,2/6/2004,12월,김재철,http://www.estechpharma.com,경기도
NICE,034310,회사 본부 및 경영 컨설팅 서비스업,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업",2/4/2004,12월,이현석,http://www.nice.co.kr,서울특별시
대교,019680,초등 교육기관,"학습지,참고서 출판/건설업/종합유선방송 프로그램공급,디지털학원",2/3/2004,12월,강호준,http://www.daekyo.co.kr,서울특별시
스포츠서울,039670,"서적, 잡지 및 기타 인쇄물 출판업",신문사업(스포츠ㆍ연예 전문 일간지),1/16/2004,03월,"이장혁, 이존백 (각자 대표이사)",http://www.sportsseoul.com,서울특별시
세진티에스,067770,전자부품 제조업,LED/LCD용 광기능성 시트,1/9/2004,12월,김인식,http://www.sejints.co.kr,경기도
한솔인티큐브,070590,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업통신 및 무선인터넷,1/8/2004,12월,류창성,http://www.hansolinticube.com,서울특별시
WI,073570,그외 기타 제품 제조업,Wafer Burn In Test 장비,1/6/2004,12월,변익성(단독대표),http://www.at-tech.co.kr,충청남도
테라사이언스,073640,기타 금속 가공제품 제조업,유압용 관이음쇠,1/6/2004,12월,이종석,http://www.samwon-tech.com,경상남도
우주일렉트로,065680,전자부품 제조업,정보통신용 초정밀커넥터,1/2/2004,12월,노영백,http://www.uju.com,경기도
피에이치씨,057880,"섬유, 의복, 신발 및 가죽제품 소매업",의료기기,12/29/2003,12월,최인환,http://www.philosyshealthcare.co.kr,경기도
기업은행,024110,은행 및 저축기관,은행업,12/24/2003,12월,윤종원,http://www.kiupbank.co.kr,서울특별시
이엔플러스,074610,일반 목적용 기계 제조업,소방자동차 제조,12/23/2003,12월,안영용(단독대표),http://www.en3.co.kr,경기도
드림어스컴퍼니,060570,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",온라인 음악 서비스,12/19/2003,12월,이기영,http://dreamuscompany.com,서울특별시
버킷스튜디오,066410,"영화, 비디오물, 방송프로그램 제작 및 배급업",DVD타이틀,12/19/2003,12월,강지연,http://www.towin-global.com,서울특별시
아프리카TV,067160,소프트웨어 개발 및 공급업,1인미디어플랫폼,12/19/2003,12월,Jung Chan Yong,http://corp.afreecatv.com,경기도
원익QnC,074600,유리 및 유리제품 제조업,반도체용 석영유리,12/12/2003,12월,임창빈,http://www.wonikqnc.com,경상북도
로체시스템즈,071280,특수 목적용 기계 제조업,LCD 제조용 이송장비,11/14/2003,12월,박기환,http://www.rorze.co.kr,경기도
에스텍,069510,영상 및 음향기기 제조업,스피커 및 스피커시스템,11/14/2003,12월,오인용,http://www.estec.co.kr,경상남도
오텍,067170,자동차 재제조 부품 제조업,"냉동 및 내장탑차, 앰블란스",11/14/2003,12월,"강성희, 소남영(각자 대표이사)",http://www.autech.co.kr,충청남도
키이스트,054780,"영화, 비디오물, 방송프로그램 제작 및 배급업",멀티미디어 SI,11/14/2003,12월,"박성혜, 남소영 (공동대표)",http://www.keyeast.co.kr,서울특별시
현대에버다임,041440,특수 목적용 기계 제조업,"콘크리트펌프트럭, 중장비개량사업",11/14/2003,12월,임명진,http://www.hyundaieverdigm.com,충청북도
한솔홈데코,025750,제재 및 목재 가공업,"PB,MDF,바닥재,강화,재생목재,LPM,제재목 제조,도소매,무역/임업,벌목관련 사업",11/4/2003,12월,김경록,http://www.hansolhomedeco.co.kr,서울특별시
중앙백신,072020,기초 의약물질 및 생물학적 제제 제조업,동물용백신,10/31/2003,12월,윤인중,http://www.cavac.co.kr,대전광역시
휴비츠,065510,의료용 기기 제조업,"자동검안기, 자동렌즈미터",10/31/2003,12월,김현수,http://www.huvitz.com,경기도
우리산업홀딩스,072470,자동차 신품 부품 제조업,HVAC ACTUATOR (자동차 공조장치 부품 등),10/28/2003,12월,김명준,http://www.woory.com,경기도
디지털대성,068930,일반 교습 학원,대성N스쿨 (교육 프랜차이즈),10/17/2003,12월,김희선,http://www.digitaldaesung.com,서울특별시
코스온,069110,기타 화학제품 제조업,화장품,10/14/2003,12월,이동건,http://coson.co.kr,서울특별시
이수페타시스,007660,전자부품 제조업,"P.C.B(인쇄회로기판),M.L.B 제조",10/7/2003,12월,서영준,http://www.petasys.com,대구광역시
강원랜드,035250,유원지 및 기타 오락관련 서비스업,"카지노,관광호텔,골프장,스키장,체육시설 운영",9/4/2003,12월,"Lee, Sam-Geol",http://kangwonland.high1.com,강원도
유아이디,069330,전자부품 제조업,"ITO COATING, GLASS LAMINATION",8/18/2003,12월,박종수 (대표이사),http://www.uidkorea.co.kr,충청북도
티씨케이,064760,기타 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품,8/18/2003,12월,"타카하시 히로시, 김영희 (각자대표)",http://www.tck.co.kr,경기도
YG PLUS,037270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",8/1/2003,12월,최성준,http://www.ygplus.com,서울특별시
아모텍,052710,전자부품 제조업,"칩바리스터, 아몰퍼스코어",8/1/2003,12월,"김병규, 정준환 (각자 대표이사)",http://www.amotech.co.kr,인천광역시
농심홀딩스,072710,기타 금융업,"지주회사,투자자문,경영컨설팅 서비스",7/30/2003,12월,신동원,http://www.nongshimholdings.co.kr,서울특별시
웰크론,065950,직물직조 및 직물제품 제조업,"기능성 침구용품, 크리너, 필터, 방탄·방검복",7/29/2003,12월,이영규,http://www.welcron.com,서울특별시
파워로직스,047310,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2차전지 보호회로 및 배터리팩, 카메라모듈",7/25/2003,12월,장동훈,http://www.powerlogics.co.kr,충청북도
한국금융지주,071050,기타 금융업,금융지주회사,7/21/2003,12월,김남구,http://www.koreaholdings.com,서울특별시
COWON,056000,소프트웨어 개발 및 공급업,모바일게임,7/11/2003,12월,이승훈,http://www.nesm.co.kr,서울특별시
이라이콤,041520,상품 중개업,TFT-LCD용 Back Light Unit,7/4/2003,12월,김성익,http://www.e-litecom.com,경기도
녹원씨엔아이,065560,인쇄 및 인쇄관련 산업,산업용필터,7/1/2003,12월,김성우,http://www.nokwonci.co.kr,경기도
유엔젤,072130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급",7/1/2003,12월,유지원,http://www.uangel.com,경기도
SBS,034120,텔레비전 방송업,"TV,라디오방송,광고",6/25/2003,12월,박정훈(단독대표),http://www.sbs.co.kr,서울특별시
